layer,concept,feature_id,full_score,full_rank,resample_support,median_resample_rank,mean_resample_rank,resamples,top_features_per_resample
4,factual_entities,22816,0.26899854567137693,47,0.015625,19.5,19.5,128,20
4,factual_entities,31011,0.3501905639023036,30,0.078125,16.5,16.3,128,20
4,factual_entities,5670,0.303688643902343,38,0.09375,13.0,13.5,128,20
4,factual_entities,7846,0.2828379983167491,40,0.015625,16.5,16.5,128,20
4,factual_entities,15404,0.13809922744779218,155,0.0078125,19.0,19.0,128,20
4,factual_entities,27825,0.16426936206612863,92,0.0078125,20.0,20.0,128,20
4,factual_entities,14386,0.34763629819080205,32,0.1796875,16.0,13.565217391304348,128,20
4,factual_entities,7477,0.3423002138722974,33,0.0859375,17.0,16.636363636363637,128,20
4,factual_entities,27446,0.2633144279539898,49,0.0234375,17.0,17.0,128,20
4,factual_entities,32310,0.22182279292255946,59,0.0390625,14.0,13.8,128,20
4,factual_entities,28216,0.3179736802928654,35,0.0546875,17.0,15.285714285714286,128,20
4,factual_entities,21177,0.5169308091342844,21,0.5546875,16.0,15.507042253521126,128,20
4,factual_entities,16313,0.06379674141327203,270,0.0078125,17.0,17.0,128,20
4,factual_entities,23112,0.22359363703214058,58,0.0078125,20.0,20.0,128,20
4,factual_entities,31036,0.19369434556713216,73,0.0234375,12.0,13.0,128,20
4,factual_entities,27325,0.615377376969553,12,0.8125,11.0,11.423076923076923,128,20
4,factual_entities,28478,0.5672520372520582,18,0.6484375,13.0,12.855421686746988,128,20
4,factual_entities,6974,0.3671608618669561,29,0.0,nan,nan,128,20
4,factual_entities,8128,0.2253787041246005,56,0.015625,18.0,18.0,128,20
4,factual_entities,19265,0.7319296415667665,7,0.7265625,6.0,7.967741935483871,128,20
4,factual_entities,17857,0.7923324551227889,5,0.953125,7.0,8.262295081967213,128,20
4,factual_entities,31302,0.396833475842556,26,0.234375,12.0,12.933333333333334,128,20
4,factual_entities,28742,0.2678677564149426,48,0.0078125,20.0,20.0,128,20
4,factual_entities,24776,0.3807757201375143,28,0.2421875,13.0,12.548387096774194,128,20
4,factual_entities,8521,0.22933584502701534,55,0.0390625,16.0,16.0,128,20
4,factual_entities,842,0.6896912771921268,8,0.890625,9.0,10.0,128,20
4,factual_entities,25674,0.33063444444058065,34,0.203125,13.5,12.615384615384615,128,20
4,factual_entities,23500,0.6642739129606701,9,0.8671875,12.0,11.54954954954955,128,20
4,factual_entities,31177,0.17182707135094766,81,0.0234375,14.0,13.0,128,20
4,factual_entities,25806,0.4997192489527797,22,0.3984375,16.0,15.196078431372548,128,20
4,factual_entities,27855,0.26947205275756886,46,0.0078125,17.0,17.0,128,20
4,factual_entities,8144,0.9582186630387782,3,0.9921875,3.0,3.9133858267716537,128,20
4,factual_entities,32122,0.27962607251030797,41,0.0234375,19.0,19.0,128,20
4,factual_entities,25941,0.6632048168672462,10,0.9609375,12.0,12.121951219512194,128,20
4,factual_entities,4182,0.1473938919702164,139,0.015625,16.5,16.5,128,20
4,factual_entities,20439,0.6079042123895573,13,0.703125,11.0,11.277777777777779,128,20
4,factual_entities,19417,0.31491568352986604,36,0.0546875,19.0,17.714285714285715,128,20
4,factual_entities,13273,0.21595862140078076,65,0.015625,13.5,13.5,128,20
4,factual_entities,3678,0.262549827015959,50,0.0234375,16.0,17.0,128,20
4,factual_entities,9695,0.546321854993219,19,0.6484375,15.0,14.481927710843374,128,20
4,factual_entities,14694,1.0894869321091203,2,1.0,2.0,3.1640625,128,20
4,factual_entities,26472,0.3832053566496396,27,0.2265625,16.0,15.724137931034482,128,20
4,factual_entities,19691,0.2784425052265409,44,0.0,nan,nan,128,20
4,factual_entities,7917,0.5352365920870297,20,0.453125,14.0,13.637931034482758,128,20
4,factual_entities,7150,0.7483197262879565,6,0.921875,6.0,7.898305084745763,128,20
4,factual_entities,1133,0.2795690741861553,42,0.03125,17.0,16.5,128,20
4,factual_entities,31730,0.6473738263910408,11,0.734375,11.5,11.287234042553191,128,20
4,factual_entities,19317,0.11558103598072272,181,0.0078125,19.0,19.0,128,20
4,factual_entities,18294,0.3481390471827767,31,0.015625,18.5,18.5,128,20
4,factual_entities,20474,0.8677792025532334,4,1.0,5.0,5.4921875,128,20
4,factual_entities,30334,0.27861099817713547,43,0.1015625,16.0,15.461538461538462,128,20
4,german_language,9858,1.0864963347640115,15,0.7890625,15.0,14.96039603960396,128,20
4,german_language,25349,0.5902788754829071,36,0.0078125,18.0,18.0,128,20
4,german_language,17290,0.8990186670415822,25,0.2109375,20.0,19.185185185185187,128,20
4,german_language,19213,1.636579780827449,6,1.0,6.0,6.1875,128,20
4,german_language,3473,0.7603346724747323,28,0.1171875,17.0,15.666666666666666,128,20
